"productId","productName","strategy","uiAction","initialUrl","finalUrlOrHost","networkOrFirstData","cancelOrRecovery","status","reason"
"microsoft-visual-studio","Visual Studio","download-page","前往官网下载 ↗","https://visualstudio.microsoft.com/downloads/","https://visualstudio.microsoft.com/downloads/","HTTP 200; first=15058 bytes","external entry only; no login/install","PASS",""
"microsoft-edge-ai","Microsoft Edge","download-page","前往官网下载 ↗","https://www.microsoft.com/en-us/edge/download","https://explore.microsoft.com/en-us/edge/download?form=MA13FJ","HTTP 206; first=1 bytes","external entry only; no login/install","PASS",""
"microsoft-power-bi-desktop","Microsoft PowerBI Desktop","direct-artifact","","","","","","FAIL","client FAIL: Packaged managed download action did not settle: {""productId"":""microsoft-power-bi-desktop"",""buttons"":[{""label"":""工具官网 ↗"",""action"":"""",""disabled"":false},{""label"":""Power BI Web ↗"",""action"":"""",""disabled"":false},{""label"":""使用教程 ↗"",""action"":"""",""disabled"":false}]}"
"cursor-desktop","Cursor","direct-artifact","","","","","","FAIL","client FAIL: Packaged managed download action did not settle: {""productId"":""cursor-desktop"",""buttons"":[{""label"":""工具官网 ↗"",""action"":"""",""disabled"":false},{""label"":""打开教程 ↗"",""action"":"""",""disabled"":false}]}"
"kimi-work-desktop","Kimi Work（Windows）","direct-artifact","","","","","","FAIL","client FAIL: Packaged managed download action did not settle: {""productId"":""kimi-work-desktop"",""buttons"":[{""label"":""工具官网 ↗"",""action"":"""",""disabled"":false},{""label"":""打开教程 ↗"",""action"":"""",""disabled"":false}]}"
"alibaba-qwen-studio","千问桌面版","direct-artifact","","","","","","FAIL","client FAIL: Packaged managed download action did not settle: {""productId"":""alibaba-qwen-studio"",""buttons"":[{""label"":""工具官网 ↗"",""action"":"""",""disabled"":false},{""label"":""千问网页版 ↗"",""action"":"""",""disabled"":false}]}"
"alibaba-qoder-cn-ide","Qoder CN IDE","direct-artifact","","","","","","FAIL","client FAIL: Packaged managed download action did not settle: {""productId"":""alibaba-qoder-cn-ide"",""buttons"":[{""label"":""工具官网 ↗"",""action"":"""",""disabled"":false},{""label"":""打开教程 ↗"",""action"":"""",""disabled"":false}]}"
"alibaba-qoderwork-cn","QoderWork CN","direct-artifact","","","","","","FAIL","client FAIL: Packaged managed download action did not settle: {""productId"":""alibaba-qoderwork-cn"",""buttons"":[{""label"":""工具官网 ↗"",""action"":"""",""disabled"":false},{""label"":""打开教程 ↗"",""action"":"""",""disabled"":false}]}"
"alibaba-quark-ai-browser","夸克 AI 浏览器","stable-redirect","前往官方下载入口 ↗","https://download.quark.cn/download/quarkpc?ch=pcquark@default","https://umcdn.quark.cn/download/37212/quarkpc/pcquark@default/QuarkPC_V7.0.5.931_pc_pf30002_(zh-cn)_releasemini_(Build3017926-1001-x64).exe","HTTP 206; first=1 bytes","external entry only; no login/install","PASS",""
"alibaba-dingtalk-ai","钉钉","direct-artifact","","","","","","FAIL","client FAIL: Packaged managed download action did not settle: {""productId"":""alibaba-dingtalk-ai"",""buttons"":[{""label"":""工具官网 ↗"",""action"":"""",""disabled"":false}]}"
"tencent-yuanbao-desktop","腾讯元宝电脑版","direct-artifact","","","","","","FAIL","client FAIL: Packaged managed download action did not settle: {""productId"":""tencent-yuanbao-desktop"",""buttons"":[{""label"":""工具官网 ↗"",""action"":"""",""disabled"":false},{""label"":""元宝网页版 ↗"",""action"":"""",""disabled"":false}]}"
"tencent-codebuddy","CodeBuddy","direct-artifact","","","","","","FAIL","client FAIL: Packaged managed download action did not settle: {""productId"":""tencent-codebuddy"",""buttons"":[{""label"":""工具官网 ↗"",""action"":"""",""disabled"":false},{""label"":""打开教程 ↗"",""action"":"""",""disabled"":false}]}"
"tencent-workbuddy","WorkBuddy","direct-artifact","","","","","","FAIL","client FAIL: Packaged managed download action did not settle: {""productId"":""tencent-workbuddy"",""buttons"":[{""label"":""工具官网 ↗"",""action"":"""",""disabled"":false}]}"
"tencent-qclaw","QClaw","direct-artifact","","","","","","FAIL","client FAIL: Packaged managed download action did not settle: {""productId"":""tencent-qclaw"",""buttons"":[{""label"":""工具官网 ↗"",""action"":"""",""disabled"":false},{""label"":""打开教程 ↗"",""action"":"""",""disabled"":false}]}"
"tencent-ima","ima","direct-artifact","","","","","","FAIL","client FAIL: Packaged managed download action did not settle: {""productId"":""tencent-ima"",""buttons"":[{""label"":""工具官网 ↗"",""action"":"""",""disabled"":false}]}"
"tencent-qq-ai-browser","QQ 浏览器","download-page","前往官网下载 ↗","https://browser.qq.com/","https://browser.qq.com/","HTTP 200; first=3745 bytes","external entry only; no login/install","PASS",""
"lm-studio-desktop","LM Studio","direct-artifact","","","","","","FAIL","client FAIL: Packaged managed download action did not settle: {""productId"":""lm-studio-desktop"",""buttons"":[{""label"":""工具官网 ↗"",""action"":"""",""disabled"":false},{""label"":""打开教程 ↗"",""action"":"""",""disabled"":false}]}"
"gpt4all-desktop","GPT4All Desktop","direct-artifact","","","","","","FAIL","client FAIL: Packaged managed download action did not settle: {""productId"":""gpt4all-desktop"",""buttons"":[{""label"":""工具官网 ↗"",""action"":"""",""disabled"":false},{""label"":""打开教程 ↗"",""action"":"""",""disabled"":false}]}"
"anythingllm-desktop","AnythingLLM Desktop","direct-artifact","","","","","","FAIL","client FAIL: Packaged managed download action did not settle: {""productId"":""anythingllm-desktop"",""buttons"":[{""label"":""工具官网 ↗"",""action"":"""",""disabled"":false},{""label"":""打开教程 ↗"",""action"":"""",""disabled"":false}]}"
"amazon-kiro-ide","Kiro IDE","direct-artifact","","","","","","FAIL","client FAIL: Packaged managed download action did not settle: {""productId"":""amazon-kiro-ide"",""buttons"":[{""label"":""工具官网 ↗"",""action"":"""",""disabled"":false},{""label"":""打开教程 ↗"",""action"":"""",""disabled"":false}]}"
"perplexity-web","Perplexity","download-page","前往官网下载 ↗","https://www.perplexity.ai/platforms","","BLOCKED: fetch failed","external entry only; no login/install","BLOCKED","external site/network probe unavailable"
"perplexity-comet","Comet","download-page","前往官网下载 ↗","https://www.perplexity.ai/comet","","BLOCKED: fetch failed","external entry only; no login/install","BLOCKED","external site/network probe unavailable"
"baidu-ruliu","如流","download-page","前往官网下载 ↗","https://infoflow.baidu.com/newweb/","https://infoflow.baidu.com/newweb/","HTTP 206; first=1 bytes","external entry only; no login/install","PASS",""
"nvidia-ai-workbench","NVIDIA AI Workbench","direct-artifact","","","","","","FAIL","client FAIL: Packaged managed download action did not settle: {""productId"":""nvidia-ai-workbench"",""buttons"":[{""label"":""工具官网 ↗"",""action"":"""",""disabled"":false},{""label"":""打开教程 ↗"",""action"":"""",""disabled"":false}]}"
"nvidia-broadcast","NVIDIA Broadcast","direct-artifact","","","","","","FAIL","client FAIL: Packaged managed download action did not settle: {""productId"":""nvidia-broadcast"",""buttons"":[{""label"":""工具官网 ↗"",""action"":"""",""disabled"":false}]}"
"nvidia-canvas","NVIDIA Canvas","direct-artifact","","","","","","FAIL","client FAIL: Packaged managed download action did not settle: {""productId"":""nvidia-canvas"",""buttons"":[{""label"":""工具官网 ↗"",""action"":"""",""disabled"":false}]}"
